Temperature - (Celsius), Year, Statistics, Country, ISO3
20.5, 1991, Jan Average, Argentina, ARG
20.0, 1991, Feb Average, Argentina, ARG
18.9, 1991, Mar Average, Argentina, ARG
14.8, 1991, Apr Average, Argentina, ARG
11.9, 1991, May Average, Argentina, ARG
8.2, 1991, Jun Average, Argentina, ARG
7.3, 1991, Jul Average, Argentina, ARG
8.9, 1991, Aug Average, Argentina, ARG
12.4, 1991, Sep Average, Argentina, ARG
13.8, 1991, Oct Average, Argentina, ARG
17.3, 1991, Nov Average, Argentina, ARG
18.6, 1991, Dec Average, Argentina, ARG
21.0, 1992, Jan Average, Argentina, ARG
19.6, 1992, Feb Average, Argentina, ARG
18.6, 1992, Mar Average, Argentina, ARG
13.9, 1992, Apr Average, Argentina, ARG
10.1, 1992, May Average, Argentina, ARG
8.5, 1992, Jun Average, Argentina, ARG
5.2, 1992, Jul Average, Argentina, ARG
9.4, 1992, Aug Average, Argentina, ARG
11.5, 1992, Sep Average, Argentina, ARG
14.7, 1992, Oct Average, Argentina, ARG
16.4, 1992, Nov Average, Argentina, ARG
19.5, 1992, Dec Average, Argentina, ARG
20.9, 1993, Jan Average, Argentina, ARG
19.9, 1993, Feb Average, Argentina, ARG
19.1, 1993, Mar Average, Argentina, ARG
14.4, 1993, Apr Average, Argentina, ARG
10.2, 1993, May Average, Argentina, ARG
8.0, 1993, Jun Average, Argentina, ARG
6.7, 1993, Jul Average, Argentina, ARG
10.0, 1993, Aug Average, Argentina, ARG
11.3, 1993, Sep Average, Argentina, ARG
15.1, 1993, Oct Average, Argentina, ARG
17.2, 1993, Nov Average, Argentina, ARG
19.9, 1993, Dec Average, Argentina, ARG
21.1, 1994, Jan Average, Argentina, ARG
19.4, 1994, Feb Average, Argentina, ARG
18.1, 1994, Mar Average, Argentina, ARG
14.1, 1994, Apr Average, Argentina, ARG
12.3, 1994, May Average, Argentina, ARG
9.7, 1994, Jun Average, Argentina, ARG
7.5, 1994, Jul Average, Argentina, ARG
9.8, 1994, Aug Average, Argentina, ARG
12.9, 1994, Sep Average, Argentina, ARG
14.7, 1994, Oct Average, Argentina, ARG
